ポイント,カード名
20,No.38 希望魁竜タイタニック・ギャラクシー
20,ギガンティック・スプライト
20,スプライト・スターター
20,ドラゴンメイド・シュトラール
20,ドラゴンメイド・ラティス
20,深淵の獣サロニール
20,FNo.0 未来龍皇ホープ
20,流離のグリフォンライダー
20,背信聖徒シルヴィア
20,黒魔女ディアベルスター
20,魔救の奇跡－ドラガイト
20,BF－魔風のボレアース
20,墓穴の指名者
20,カオス・アンヘル－混沌の双翼－
20,サイバー・ドラゴン・インフィニティ
20,DDD怒涛大王エグゼクティブ・シーザー
20,電光－雪花－
20,D-HERO デストロイフェニックスガイ
20,D-HERO Bloo-D
20,天霆號アーゼウス
20,星辰爪竜アルザリオン
20,星辰砲手ファイメナ
20,F.A.ライトニングマスター
20,炎王妃 ウルカニクス
20,剣闘獣ガイザレス
20,剣闘獣総監エーディトル
20,大嵐
20,アイズ・ライゼオル
20,インスペクト・ボーダー
20,K９－１７号 “Ripper”
20,K９－１７号 イヅナ
20,光と闇の竜王
20,LL－バード・コール
20,戎の忍者－冥禪
20,強欲で貪欲な壺
20,サイコ・エンド・パニッシャー
20,ライゼオル・デッドネーダー
20,ライゼオル・デュオドライブ
20,マジック・キャンセラー
20,ソード・ライゼオル
20,幻の召喚神エクゾディア
20,ライオウ
20,餅カエル
20,終戒超獣ーヴァルドラス
20,電脳堺狐ー仙々
20,冑の忍者ー櫓丸
20,十二獣ドランシア
15,灰流うらら
15,剣闘排斥波
15,死者蘇生
15,PSYフレームギア・γ
15,ピュアリィ
15,ピュアリィ・スリーピィメモリー
13,BF－精鋭のゼピュロス
13,幻竜星－チョウホウ
13,無限泡影
13,K９－６６a号 ヨクル
13,三戦の号
11,一時休戦
10,No.90 銀河眼の光子卿
10,エルシャドール・アプカローネ
10,ドラゴンメイドのお片付け
10,ナチュル・パルキオン
10,No.60 刻不知のデュガレス
10,No.1 ゲート・オブ・ヌメロン－エーカム
10,No.2 ゲート・オブ・ヌメロン－ドゥヴェー
10,No.3 ゲート・オブ・ヌメロン－トゥリーニ
10,No.4 ゲート・オブ・ヌメロン－チャトゥヴァーリ
10,CNo.1 ゲート・オブ・カオス・ヌメロン－シニューニャ
10,深淵の神獣ディス・パテル
10,マルチャミー・プルリア
10,六武衆の荒行
10,心変わり
10,混源龍レヴィオニア
10,抹殺の指名者
10,異次元グランド
10,ディメンション･アトラクター
10,ダイナレスラー・パンクラトプス
10,聖王の粉砕
10,命王の螺旋
10,表裏一体
10,拮抗勝負
10,炎王神獣 キリン
10,禁じられた一滴
10,封印の黄金櫃
10,K９－０４号 咒
10,計都星辰
10,真炎王 ポニクス
10,真魔六武衆－シエン
10,真六武衆－シエン
10,光道の龍
10,突然変異
10,御巫の水舞踏
10,悪夢の蜃気楼
10,原始生命態ニビル
10,儀式の下準備
10,ピュアリィ・リリィ
10,R－ACEエアホイスター
10,R－ACEプリベンター
10,霊獣使いの長老
10,王宮のお触れ
10,影依の偽典
10,紫炎の道場
10,列王詩篇
10,精霊獣使い レラ
10,超融合
10,厄災の星ティ・フォン
10,嗤う黒山羊
10,フレシアの蠱惑魔
10,VS ホーリー・スー
7,マルチャミー・フワロス
7,朔夜しぐれ
7,焔征竜－ブラスター
7,巌征竜－レドックス
7,嵐征竜ーテンペスト
7,瀑征竜ータイダル
7,月の書
7,チキンレース
7,未界域のネッシー
7,未界域のジャッカロープ
7,未界域のツチノコ
7,竜の影光
7,エフェクト・ヴェーラー
7,旧神ヌトス
7,左腕の代償
7,斬機シグマ
7,PSYフレームギア・δ
7,PSYフレームギア・ε
7,サンダー・ボルト
7,復活の福音
7,強奪
7,神の宣告
7,トランザクション・ロールバック
7,トラップホリック
5,アサルト・シンクロン
5,アラメシアの儀
5,聖殿の水遣い
5,屋敷わらし
5,幽鬼うさぎ
5,暗黒界の文殿
5,暗黒界の取引
5,暗黒界の龍神 グラファ
5,暗黒界の龍神王 グラファ
5,暗黒界の門
5,相剣軍師ー龍淵
5,スネークアイ・エクセル
5,蛇眼の炎燐
5,闇の誘惑
5,皆既日蝕の書
5,重騎士 プリメラ
5,水晶機巧－スモーガー
5,水晶機巧－シストバーン
5,闇と消滅の竜
5,魔砲戦機ダルマ・カルマ
5,星辰竜ムルル
5,ドロール＆ロックバード
5,禁じられた聖杯
5,心宿りし青眼竜
5,K９－ØØ号 ルプス
5,光と昇華の竜
5,LL－ベリル・カナリー
5,儀式の準備
5,RR－バニシング・レイニアス
5,RUM－アージェント・カオス・フォース
5,RUM－ スキップ・フォース
5,RUM－ ソウル・シェーヴ・フォース
5,古聖戴サウラヴィス
5,神の通告
5,神の警告
5,スタンドアップ・センチュリオン！
5,光天使セプター
5,光天使スローネ
5,ストレイ・ピュアリィ・ストリート
5,サブテラーの導師
3,マルチャミー・ニャルス
3,儚無みずき
3,赫の聖女カルテシア
3,導きの聖女クエム
3,相剣師ー莫邪
3,白の聖女エクレシア
3,アストラル・クリボー
3,従騎士トゥルーデア
3,水晶機巧－サルファドール
3,未界域のビッグフット
3,未界域のチュパカブラ
3,未界域のワーウルフ
3,未界域のモスマン
3,未界域のオゴポコ
3,未界域のサンダーバード
3,ブラック・ホール
3,教導の聖女エクレシア
3,E・HERO エアーマン
3,おろかな副葬
3,禁じられた聖槍
3,無の煉獄
3,鎧騎士竜－ナイト・アームド・ドラゴン－
3,コアキメイル・ガーディアン
3,コアキメイル・オーバードーズ
3,コアキメイル・サンドマン
3,コアキメイル・ウォール
3,メタバース
3,千年の十字
3,多元宇宙
3,おジャマトリオ
3,擬似空間
3,SRベイゴマックス
3,魔界発現世行きデスガイド
3,氷結界の龍 トリシューラ
3,電脳堺媛ー瑞々
2,おジャマデュオ
2,惑星探査車
1,宿神像ケルドウ
1,剣神官ムドラ
1,ジェット・シンクロン
1,No.100 ヌメロン・ドラゴン
1,蝶の短剣－エルマ
1,コズミック・ブレイザー・ドラゴン
1,強制転移
1,ダイガスタ・エメラル
1,終焉の地
1,ダイノルフィア・インタクト
1,イーバ
1,ヘルグレイブ・スクワーマー
1,琰魔竜王 レッド・デーモン・カラミティ
1,HRUM－ユートピア・フォース
1,光の結界
1,LL－インディペンデント・ナイチンゲール
1,メンタルマスター
1,RUM－ファントム・フォース
1,ラーの使徒
1,RUM－七皇の剣
1,RUM－千死蛮巧
1,RUM－アストラル・フォース
1,RUM－バリアンズ・フォース
1,RUM－光波昇華
1,RUM－デス・ダブル・フォース
1,RUM－リミテッド・バリアンズ・フォース
1,RUM－マジカル・フォース
1,RUM－デス・ダブル・フォース
1,RUM－クイック・カオス
1,RUM－ レイドフォース
1,RUM－ラプターズ・フォース
1,RUM－レヴォリューション・フォース
1,RUM－ゼアル・フォース
1,ЯRUM－レイド・ラプターズ・フォース
1,聖珖神竜 スターダスト・シフル
1,覇王眷竜スターヴ・ヴァノム
1,RUMーファントム・ナイツラウンチ
